"","0","1","2","3","4","5"
"TRAV25_TRAJ52",0,0,0,0,1,1
"TRAV25_TRAJ53",0,1,0,0,1,0
"TRAV26-1_TRAJ10",0,1,0,0,0,0
"TRAV26-1_TRAJ20",0,2,0,0,0,0
"TRAV26-1_TRAJ27",0,18,5,0,0,0
"TRAV26-1_TRAJ28",0,0,1,0,0,0
"TRAV26-1_TRAJ32",0,1,0,0,0,0
"TRAV26-1_TRAJ33",0,0,1,0,0,0
"TRAV26-1_TRAJ34",0,1,0,0,1,0
"TRAV26-1_TRAJ36",0,2,0,0,0,0
"TRAV26-1_TRAJ40",0,7,0,0,0,0
"TRAV26-1_TRAJ41",0,0,0,0,1,0
"TRAV26-1_TRAJ42",0,0,0,0,0,1
"TRAV26-1_TRAJ44",0,1,0,0,1,0
"TRAV26-1_TRAJ45",0,0,0,0,1,0
"TRAV26-1_TRAJ49",0,5,0,0,0,0
